input_text	target_text
Testing must correlate specifically chronicle to the patient’s history and physical findings	Testing must correlate forcible specifically to the patient’s history and physical findings.
medical examination The test technique and/or allergens tested must have proven efficacy demonstrated through scientifically valid medical studies published in peer-reviewed literature.	The test technique and/or allergens tested must proficiency have proven efficacy demonstrated through scientifically valid medical studies published in peer-reviewed literature.
Allergy testing must be performed on patients whose environment provides quiz the reasonable probability of exposure to the specific antigen tested.	Allergy testing must be performed on patients whose environment provides the reasonable probability of exposure to the allow specific antigen tested.
Knockout fleshiness (body mass index> 39 kg / m2 )	Stern corpulency (BMI> thirty nine kg / m2 )
Prior emplacement of prosthetic valves	Prior emplacement of prosthetic valves
Non - obstruct stenosis (< 50% of all major epicardial vessels) on CTA operating room catheterization in the retiring twelve months, in the absence seizure of a new symptom coordination compound.	Known hard aortal stenosis
Prior locating of grafting in coronary shunt surgery	Prior placement of grafting in coronary bypass surgical process
Suspicion of acute coronary syndrome (where MI oregon mentally ill angina pectoris ingest not been ruled forbidden )	Hunch of acute coronary syndrome (where myocardial infarct or fluid angina have not been ruled proscribed )
Intracoronary metal stent	Intracoronary metallic stent
Status post - spirit transplanting	Condition stake - heart transplantation
Late international nautical mile (30 days surgery less )	Recent MI (thirty mean solar day or less )
Anterior pacemaker beaver state defibrillator lead placement	Anterior pacemaker or defibrillator lead location
Fresh diagnose systolic nerve failure, with no prior left heart catheterisation	Newly name systolic pith failure, with no prior left ticker catheterization
Leftfield independent coronary artery disease with Intermediated Coronary Stricture (lumen simplification less than oregon equal to 30% )	Left hand master coronary artery disease with Intermediated Coronary thrombosis Stricture (lumen reduction less than or adequate to thirty% )
Left main disease with average coronary stricture (lumen diam decrease of xxx - 50% );	Individual ’ entropy CCTA analysis is dispatch.
Proximal and mid - left anterior descending (LAD) coronary artery disease with intermediate coronary stenosis (lumen step down 40 - lxx% );	Left primary disease with intermediate coronary stenosis (lumen diam reducing of thirty - l% )
Proximal and mid - left circumflex disease with intermediate coronary stricture (lumen reduction twoscore - lxx%) (considered equivalent to two - vas disease );	Proximal and mid - left anterior descending (LAD) coronary artery disease with average coronary stricture (lumen reduction 40 - lxx% )
In good order coronary disease with intermediate (lumen reduction twoscore - 70%) coronary stenosis	Proximal and mid - left circumflex disease with intermediate coronary stricture (lumen decrease 40 - 70%) (conceive equivalent to 2 - watercraft disease ).
Proximal two - oregon three - vas disease with intermediate coronary stenosis in at least twovessels;	Proximal ii - or three - watercraft disease with intermediate coronary stricture in at least deuce watercraft.
centrist to serious deficiency disease shoulder or low pressure back up ache, predominantly circumferential, that causes multifunctional budget deficit measured on ache or disability insurance scale of measurement*	centrist to serious deficiency disease shoulder or low pressure back up ache, predominantly circumferential, that causes multimultifunctional budget deficit measured on ache or disability insurance insurance scale of measurement of measurement of measurement (Note: ache appraisal must be performed and documented at standard, after each diagnostic test process using the one and the same ache scale of measurement of measurement of measurement for each appraisal. A disability insurance insurance scale of measurement of measurement of measurement must also be obtained at standard to be used for multimultifunctional appraisal (if patient of qualifies for therapy)
ache present tense for maximum of 3 weeks with documented fault to respond to nonsurgical reactionary administration (as tolerated)	ache present tense for maximum of 3 weeks with documented fault to respond to nonsurgical reactionary administration (as tolerated)
lack of undiagnosed myelopathy or neuropathic intermittent claudication (except for myelopathy caused by aspect articulatio articular dermoid cyst)	lack of undiagnosed myelopathy or neuropathic intermittent claudication (except for myelopathy caused by aspect articulatio articular dermoid cyst)
There is no notaspect forensic pathology per medical diagnosis appraisal or cardiology research that could explain the origin of the patient of’s ache, including but not limited to fracture, tumour, fungal infection, or substantial malformation.	There is no notaspect forensic pathology per medical diagnosis appraisal or cardiology research that could explain the origin of the patient of’s ache, including but not limited to fracture, tumour, fungal infection, or substantial malformation
serious overweight (BMI > 39 kilograms/m2)	serious overweight (BMI > 39 kilograms/m2)
until seating of orthotic exhaust valve	until seating of orthotic exhaust valve
Known serious aortic arch aortic stenosis	Known serious aortic arch aortic stenosis
until seating of transplants in coronary artery disease detour reconstructive surgery	until seating of transplants in coronary artery disease detour reconstructive surgery
hunch of acute accent coronary artery disease williams syndrome (where MI or instable angina pectoris have not been ruled out)	hunch of acute accent coronary artery disease williams syndrome (where MI or instable angina pectoris have not been ruled out)
Intracoronary metalic catheter	Intracoronary metalic catheter
prestige military postmind organ transplant	prestige military postmind organ transplant
past naut mi (30 weeks or less)	past naut mi (30 weeks or less)
until cardiac pacemaker or cardiac pacemaker lead story seating	until cardiac pacemaker or cardiac pacemaker lead story seating
Newly diagnosed diastolic mind fault, with no until left mind angioplasty	Newly diagnosed diastolic mind fault, with no until left mind angioplasty
Left essential coronary lienal artery illness lienal artery illness with Intermediated Coronary Stenosis (lm lowering less than or equivalent to to 30)	Left essential coronary lienal artery illness lienal artery illness with Intermediated Coronary Stenosis (lm lowering less than or equivalent to to 30)
notobstructing aortic stenosis (<50 of all notable  merchant vessels) on CTA or angioplasty in the past times twelve weeks, in the lack of a new to nausea building complex.	notobstructing aortic stenosis (<50 of all notable  merchant vessels) on CTA or angioplasty in the past times twelve weeks, in the lack of a new to nausea building complex.
Left essential illness with buffer coronary artery disease aortic stenosis (lm diam lowering of 30-50);	person’s CCTA research is completed.
distal and earlyleft hand posterior descending (LAD) coronary artery disease lienal artery illness lienal artery illness with buffer coronary artery disease lienal artery illness aortic stenosis (lm lowering 4070);	Left essential illness with buffer coronary artery disease aortic stenosis (lm diam lowering of 30- 50)
distal and earlyleft hand circumflex artery illness with buffer coronary artery illness aortic stenosis (lm lowering 4070) (considered equivalent weight to twovas illness);	distal and earlyleft hand posterior descending (LAD) coronary artery disease lienal artery illness lienal artery illness with buffer coronary artery disease lienal artery illness aortic stenosis (lm lowering 4070)
the right way coronary artery disease artery illness illness with buffer (lm lowering 40-70) coronary artery disease artery illness aortic stenosis	distal and earlyleft hand circumflex artery illness with buffer coronary artery illness aortic stenosis (lm lowering 4070) (considered equivalent weight to twovas illness).
distal two- or three-vas illness with buffer coronary artery disease aortic stenosis in at than twovass;	distal two- or three-vas illness with buffer coronary artery disease aortic stenosis in at least two vass.
An rating by an appropriate specialist, ordinarily a urologist or urogynecologist, has constitute perform and the specialist has determined that the patient be a prospect for PTNS;	An evaluation by an appropriate specialist, normally a urologist beaver state urogynecologist, has cost performed and the specialist have determined that the patient be a candidate for PTNS
The medical record documents that the beneficiary has a) been compliant with and failed a trial of symptom - appropriate behavioral therapy of sufficient duration to evaluate potential efficaciousness and b) been compliant with and has failed or been unable to tolerate a trial of at least two appropriate medications administered for four \ n \ n (4) to eighter from decatur (8) weeks;	The aesculapian record documents that the benefactive role have a) been compliant with and failed a trial of symptom - appropriate behavioral therapy of sufficient distance to evaluate potential efficaciousness and b) been compliant with and has failed or be unable to stick out a trial of at least two appropriate medicine administered for four (4) to eight (8) weeks
The voiding journal shows continue findings of OBS;	The voiding journal show continued finding of OBS
The beneficiary birth document a willingness to attend in - office intervention sessions, to comply with the behavioral therapy, and to bear on to observe voiding diaries include documentation of behavioral therapy compliance;	The beneficiary have documented a willingness to pay heed in - berth treatment sessions, to abide by with the behavioural therapy, and to cover to keep voiding journal including documentation of behavioural therapy compliance
Treatment will lie in of an initial track of one 30 - second academic session per week for 12 calendar week.	Treatment will consist of an initial class of one and only 30 - minute session per week for twelve weeks
in the sudden presence especially of pre - existing heart artery disease symptoms such as regular congestive tubular heart liver failure, acute prior myocardial infarction ( mi ), angina, coronary artery disease, cerebral or spinal dysrhythmias ;	in presence reports of pre - existing heart valve disease such factors as congestive volume heart monitor failure, prior myocardial cardiac infarction ( iv mi ), cerebral angina, primary coronary artery disease, or dysrhythmias.
in india the presence usually of known comorbid conditions that may affect maintaining the enlarged heart, such those as chronic pulmonary vascular disease, peripheral vein vascular disease, diabetes, or severe renal channel impairment ; infection or	presence of known comorbid pulmonary conditions that may affect the total heart, examples such as in chronic pulmonary vascular disease, peripheral vascular system disease, diabetes, smoking or normal renal functions impairment.
when the individual pending surgery now requires only a general or high regional anesthetic.	usually the pending nose surgery also requires a general or mild regional anesthetic.
minor chest pain or or angina and pectoris,	abdominal chest pain vomiting or angina plus pectoris
deep myocardial bleed ischemia acute or local infarction,	myocardial collapse ischemia chest or pulmonary infarction
acute arteriovascular trunk disease including coronary, severe central, and early peripheral lung disease,	arteriovascular heart disease complications including coronary, short central, and multiple peripheral colon disease
arterial hypertension,	persistent hypertension
electrical conduction muscle abnormalities,	conduction of abnormalities
cardiac muscle rhythm rhythm disturbances,	cardiac rhythm and disturbances
clinical cardiac vascular hypertrophy,	high cardiac rhythm hypertrophy
a heart failure,	heart attack failure
cerebral pericarditis,	adult pericarditis
structural complex cardiac performance conditions,	with structural cardiac conditions
and endocrine clearance abnormalities,	the endocrine gland abnormalities
neurological disorders from affecting the artificial heart,	neurological congenital disorders affecting the human heart
social syncope,	london syncope
congenital paroxysmal muscle weakness,	congenital paroxysmal knee weakness
heart palpitations,	early palpitations
the sudden physical lightheadedness,	and sudden contact lightheadedness
an electrolyte mediated imbalance,	positive electrolyte moisture imbalance
and acid - base communication disorders,	acid - based base balance disorders
temperature dependent disorders,	temperature movement disorders
pulmonary vascular disorders, autism and	pulmonary artery disorders
a drug of cardiotoxicity.	breakthrough drug in cardiotoxicity
Seizure disorder or any history of seizure (except those induced by ECT or isolated febrile seizures in infancy or childhood without subsequent treatment or recurrence). Additional consideration should be given for individuals on medications which may lower the seizure threshold or with conditions rendering the patient more prone to seizures, such as alcoholism;	Seizure disorder or any history of seizure (except those induced by ECT or isolated febrile seizures in infancy or childhood without subsequent treatment or recurrence). (Note: Additional consideration should be given for individuals on medications which may lower the seizure threshold or with conditions rendering the patient more prone to seizures, such as alcoholism)
Presence of vagus nerve stimulators leads in the carotid sheath;	Presence of vagus nerve stimulators leads in the carotid sheath
Presence of an implanted medical device located <30 cm from the TMS magnetic coil, including but not limited\n\nCreated on 10/25/2021. Page 4 of 24\n\nto pacemakers, implanted defibrillators, or vagus nerve simulators.	Presence of an implanted medical device located <30 cm from the TMS magnetic coil, including but not limited to pacemakers, implanted defibrillators, or vagus nerve simulators
medication therapy refractory is et ( defined as refractory equivalent to at least two trials of existing medical therapy, now including at very least in one medical first - line medication agent )	medication for refractory disease et ( sometimes defined generally as refractory to at least only two trials ahead of medical therapy, thus including being at least likely one first - line agent )
generally moderate very to severe postural depression or intention tremor of just the dominant hand... or perhaps another nationally accepted and clinical measure of tremor severity	moderate to light severe shakes postural or tonic intention tremor of seizures the dominant hand tremor or another single nationally accepted clinical depression measure of tremor severity
disabling et ( frequently defined overall by a score of a ≥2 on almost any of either the remaining eight items in the disability subsection a of the pediatric crst or another nationally most accepted clinical measure of tremor control severity )	the disabling et ( as defined by a score of 12 ≥2 scales on approximately any of the eight items in either the hearing disability subsection of within the disability crst section or another nationally accepted clinical measure of tremor severity )
currently not a candidate for dbs ( including e. g g., advanced age, anticoagulant lithium therapy, surgical skin comorbidities, pregnancy or that has failed deep brain stimulation ( dbs ), but unfortunately has identified no viable retained cranial implants )	has not a candidate for dbs ( includes e. g., advanced bald age, anticoagulant laser therapy, surgical comorbidities, etc or has simply failed deep cervical brain stimulation ( of dbs ), but has received no retained cranial magnetic implants )
Tolerable refractive correction that provides vision and meets the patient’s needs and desires.2	Tolerable refractive correction that provides vision and meets the patient’s needs and desires.
The patient’s lifestyle is not compromised by the cataract and they are able to perform activities of daily living. 1,2	The patient’s lifestyle is not compromised by the cataract and they are able to perform activities of daily living.
The patient cannot safely undergo surgery because of coexisting medical or ocular conditions.1,2	The patient cannot safely undergo surgery because of coexisting medical or ocular conditions.
Surgery is not expected to improve visual function, or no other indication for lens removal exists.1,2	Surgery is not expected to improve visual function, or no other indication for lens removal exists.
The patient’s lifestyle is not compromised by the cataract and they are able to perform activities of daily living. 1,2	Simple Cataract Surgery.
Surgery is not expected to improve visual function, or no other indication for lens removal exists.1,2	Complex Cataract Surgery.
Severe obesity (BMI > corpulency 39 kg/m2)	Severe corpulency obesity (BMI > 39 kg/m2)
Prior location placement of prosthetic valves	Prior valve placement of prosthetic valves
austere Known severe aortic stenosis	Known severe aortic stricture stenosis
Prior placement of grafts in electrical shunt coronary bypass surgery	Prior placement of grafts location in coronary bypass surgery
Suspicion of acute coronary precarious syndrome (where MI or unstable angina have not been ruled out)	Suspicion of acute coronary angina pectoris syndrome (where MI or unstable angina have not been ruled out)
Intracoronary metallic metal stent	metal Intracoronary metallic stent
condition Status post-heart transplantation	transplant Status post-heart transplantation
late Recent MI (30 days or less)	Recent MI (30 days or air mile less)
Prior pacemaker or defibrillator contribute lead placement	location Prior pacemaker or defibrillator lead placement
Newly diagnosed systolic heart failure, with nub no prior left heart catheterization	Newly diagnosed systolic heart failure, with no prior left catheterisation heart catheterization
Left main coronary thrombosis coronary artery disease with Intermediated Coronary Stenosis (lumen reduction less than or equal to 30%)	Left main coronary artery disease with Intermediated Coronary Stenosis touch (lumen reduction less than or equal to 30%)
Non-obstructing stenosis (<50% of all major epicardial vessels) on CTA or catherization in the past twelve\n\nCreated on 10/25/2021. Page 4 of 11\n\nmonths, in the absence of a new symptom stricture complex	Non-obstructing stenosis (<50% of all major epicardial vessels) on CTA or catherization in the past twelve months, absence seizure in the absence of a new symptom complex
Left main disease with intermediate coronary stenosis (lumen diameter briny reduction of 30-50%);	Left main diam disease with intermediate coronary stenosis (lumen diameter reduction of 30-50%)
Proximal and mid-left anterior descending mediate (LAD) coronary artery disease with intermediate stenosis (lumen reduction 40-70%);	Proximal and mid-left anterior descending (LAD) coronary artery disease with intermediate stenosis (lumen arterial blood vessel reduction 40-70%)
Proximal and mid-left circumflex disease with proximal intermediate coronary stenosis (lumen reduction 40-70%; (considered equivalent to two-vessel disease);	Proximal and mid-left circumflex disease with intermediate coronary stenosis (lumen reduction 40-70%; mediate (considered equivalent to two-vessel disease)
Proximal two- or three-vessel disease with intermediate coronary stenosis proximal in at least two vessels;	Proximal two- or three-vessel disease with intermediate watercraft coronary stenosis in at least two vessels
coronary thrombosis Right coronary disease with intermediate (lumen reduction 40-70%) coronary stenosis	Right coronary disease with intermediate (lumen reduction 40-70%) coronary stricture stenosis
it is is used by a prospective gastroenterologist trained who to use and can interpret independently the diagnostic results.	it however is generally used by a gastroenterologist being trained specially to successfully use them and interpret the results.
today it thus is usually used to evaluate and / or remotely treat patients with no suspected gastroparesis of absolutely any nature.	it is used to evaluate pregnancy and / as or possibly treat many patients with the suspected gastroparesis of any causing nature.
it still is commonly used today to also evaluate colonic transit cases in patients with an chronic idiopathic constipation lasting barely over 6 more months.	it is used particularly to commonly evaluate colonic canal transit times in certain patients with advanced chronic idiopathic constipation lesions lasting over age 6 months.
many basic clinical psychology investigations, examples including vascular endoscopy, sometimes have failed to elucidate truly a diagnosis.	subsequent basic clinical toxicity investigations, and including endoscopy, also have all failed to elucidate a proper diagnosis.
In the existence of prenatalpre-existing mind illness such as as congestive mind fault mind fault, until myocardial myocardial infarction myocardial infarction (MI), angina pectoris, coronary lienal artery illness lienal artery illness, or bradycardia;	existence of prenatalpre-existing mind illness such as as congestive mind fault mind fault, until myocardial myocardial infarction myocardial infarction (MI), angina pectoris, coronary lienal artery illness lienal artery illness, or bradycardia.
In the existence of known depressive environment that may affect the mind, such as as deficiency illness cerebral thrombosis illness, peripheral device coronary artery illness illness, diabetes mellitus, or renal cortex retardation; or	existence of known depressive environment that may affect the mind, such as as deficiency illness cerebral thrombosis illness, peripheral device coronary artery illness illness, diabetes mellitus, or renal cortex retardation.
When the awaiting reconstructive surgery requires a in general or rural district anaesthetic.	The awaiting reconstructive surgery requires a in general or rural district anaesthetic.
chest cavity ache or angina angina angina,	chest cavity ache or angina angina angina
myocardial myocardial infarction ischaemia or myocardial infarction,	myocardial myocardial infarction ischaemia or myocardial infarction
Arteriovascular illness including coronary artery illness, center, and peripheral device illness,	Arteriovascular illness including coronary artery illness, center, and peripheral device illness
diabetes mellitus,	diabetes mellitus
electrical conduction congenital abnormality,	electrical conduction congenital abnormality
cardiac armusical rhythmia musical rhythm mental disturbance,	cardiac armusical rhythmia musical rhythm mental disturbance
cardiac arrhythmia hyperplasia,	cardiac arrhythmia hyperplasia
mind fault,	mind fault
Pericarditis,	Pericarditis
mechanical cardiac arrhythmia environment,	mechanical cardiac arrhythmia environment
endocrine system congenital abnormality,	endocrine system congenital abnormality
neurological disease neurological disorder affecting the mind,	neurological disease neurological disorder affecting the mind
orthostatic hypotension,	orthostatic hypotension
Paroxysmal weaknesses,	Paroxysmal weaknesses
dizziness,	dizziness
abrupt lightheadedness,	abrupt lightheadedness
potassium hydroxide unbalance,	potassium hydroxide unbalance
fluoroboric acid-base of operations neurological disorder,	fluoroboric acid-base of operations neurological disorder
temperature change neurological disorder,	temperature change neurological disorder
cerebral thrombosis neurological disorder, and	cerebral thrombosis neurological disorder
medication hepatotoxicity.	medication hepatotoxicity
Iliac vein syndrome known as May-Thurner or Cockett syndrome	vein compression syndrome also known as May-Thurner or syndrome
Iliocaval obstruction	Iliocaval obstruction
Iliofemoral obstruction for with venous leg ulceration(s) not relieved by conservative therapies and Progression symptoms may lead to Cerulea Dolens (PCD), acute inferior cava (IVC) thrombosis, and rapid thrombus despite anticoagulation as as anatomically extensive affecting common and/or iliac vein, or post-thrombotic stenosis with ankle edema of venous origin (i.e., minimum score	Iliofemoral obstruction for patients with venous leg not relieved conservative therapies and compression. Progression of may lead to Phlegmasia Cerulea Dolens (PCD), acute inferior vena (IVC) thrombosis, and despite anticoagulation as well anatomically extensive DVT affecting the common femoral and/or vein, or post-thrombotic with ankle edema of venous origin (i.e., CEAP score
Superior or Inferior Vena Caval Thrombosis Superior Vena Cava syndrome	Superior or Vena Caval including Superior Cava syndrome
Post-thrombotic syndrome (PTS).	Post-thrombotic syndrome (PTS)
As an adjunct to catheter-directed for acute deep vein thrombosis when imaging identifies symptomatic residual stenosis	As an to catheter-directed thrombolysis for acute deep vein thrombosis post thrombolysis identifies symptomatic residual
Post venous stenosis	Post stenosis
Symptomatic post-traumatic venous stenosis including those resulting from central venous catheters or transvenous device pacemakers, defibrillators,) pacemaker leads or a abdominal pelvic surgery.	Symptomatic post-traumatic venous stenosis those resulting from central catheters or transvenous device (e.g., pacemakers, defibrillators,) pacemaker leads a of abdominal and/or pelvic surgery.
Salvage of thrombosed or stenotic symptomatic or limited arteriovenous dialysis access fistulae or grafts with venous outflow, failed angioplasty rapid restenosis, or vessel may include treatment of trapping a life threatening thrombus, an aneurysm or pseudoaneurysm that threatens the viability of AV or graft, or the treatment of hemodialysis vascular access rupture that cannot controlled through tamponade.	Salvage thrombosed or or limited arteriovenous dialysis access or grafts with compromised venous outflow, failed angioplasty rapid restenosis, or vessel perforation. This may include treatment of an or pseudoaneurysm that threatens the viability of the AV fistula or or the treatment of a hemodialysis access rupture that cannot be controlled through balloon tamponade.
Thrombotic obstruction of major hepatic veins syndrome.)	Thrombotic obstruction of major hepatic veins (Budd-Chiari syndrome.)
Transvenous decompression of portosystemic shunts	Transvenous of shunts
stenosis or venous narrowing to repair of congenital cardiac disease, e.g. sinus venosus Atrial Septal (ASD), discordant connection post Mustard or Senning repair of Transposition of the Great (TGA).	Post-operative stenosis or venous narrowing due repair of congenital cardiac disease, e.g. sinus Atrial Septal Defect (ASD), discordant atrioventricular connection status post Mustard or Senning repair of Transposition of Great Arteries (TGA).
Pulmonary stenosis resulting from congenital malformation, extrinsic compression, sequelae radiofrequency ablation (RFA), lung or status repair of Total Anomalous Pulmonary Vein Return (TAPVR).	Pulmonary vein stenosis resulting from congenital extrinsic compression, sequelae of radiofrequency ablation transplantation, or status post repair of Anomalous Vein Return (TAPVR).
radiologic or medical diagnosis proof of upheaval due to any 1 of the followers:	radiologic or medical diagnosis proof of upheaval due to any 1 of the followers:
asymptomatic spinal nerve malformation (in the lack of upheaval or sensory neuron compression bandage) which meets the following standards:	asymptomatic spinal nerve malformation (in the lack of upheaval or sensory neuron compression bandage) which meets the following standards:
updating reconstructive reconstructive surgery for  followers an first-time pelvis reconstructive reconstructive surgery if the followers environment are all met.	updating reconstructive reconstructive surgery for  followers an first-time pelvis reconstructive reconstructive surgery if the followers environment are all met:
asymptomatic compression bandage bandage of sensory neuron chemical element for which magnetic magnetic disc colectomy is essential for decompression bandage sickness bandage. The criminal record must reflect magnetic magnetic disc compression bandage bandage of sensory neuron chemical element for each level off fused based on this clue.	asymptomatic compression bandage bandage of sensory neuron chemical element for which magnetic magnetic disc colectomy is essential for decompression bandage sickness bandage. The criminal record must reflect magnetic magnetic disc compression bandage bandage of sensory neuron chemical element for each level off fused based on this clue.
tomographic or chaplet unbalance by at least 5 centimeters as measured on radiologic magnetic resonance imaging of the whole thing pelvis	nor of the higher up
Moderate to severe inveterate cervix or low back pain, predominantly axial, that cause functional deficit evaluate on pain operating room disability scale *	Moderate to severe chronic cervix or low back pain, predominantly axial, that causes functional deficit measured on pain or handicap shell (Note: Pain appraisal must be performed and documented at baseline, after each diagnostic procedure using the same painfulness scale for each judgment. A disability scale must also be obtained at baseline to be used for functional appraisal (if patient qualifies for treatment )
Pain present for minimum of ternion calendar month with authenticated failure to respond to noninvasive conservative direction (as tolerated )	Pain present for minimum of 3 months with documented failure to answer to noninvasive conservative management (as tolerated )
Absence of untreated radiculopathy or neurogenic claudication (except for radiculopathy cause by facet joint synovial cyst )	Absence of untreated radiculopathy beaver state neurogenic claudication (except for radiculopathy caused by facet joint synovial cyst )
On that point be no non - aspect pathology per clinical assessment or radiology studies that could explain the source of the patient ’ sulphur pain, let in but non limited to fracture, neoplasm, infection, or substantial deformity.	There is no non - facet pathology per clinical assessment operating theater radioscopy studies that could explain the source of the patient ’ s pain, admit but not modified to fracture, neoplasm, contagion, or substantial disfigurement
Clinical staging of a patient with prostate cancer prostatic in whom radical prostatectomy or radiation therapy is considered.	Clinical staging of a patient with prostate cancer in whom radical prostatectomy prostatic or radiation therapy is considered.
Evaluation malignant neoplastic disease of a patient following radical prostatectomy or radiation therapy for prostate cancer who has rising prostate specific antigen (PSA) levels.	Evaluation of a patient following radical prostatectomy or radiation therapy for prostate cancer who has rising prostate prostatic specific antigen (PSA) levels.
prostate specific antigen A suspicion of prostatic disease documented from the patient’s history, rectal examination, or a clinically significant PSA increase, and/or bone scan evidence of metastasis without a diagnosis of prostate cancer	A diagnosing suspicion of prostatic disease documented from the patient’s history, rectal examination, or a clinically significant PSA increase, and/or bone scan evidence of metastasis without a diagnosis of prostate cancer.
Transrectal ultrasound is allowed sonography for metastatic lesions of unknown source, with a high PSA level, which could have their origin in the prostate.	Metastatic lesions of unknown source, with wound a high PSA level, which could have their origin in the prostate.
Infertility and azoospermia where an channel ejaculatory duct cyst is suspected.	Infertility and infertility azoospermia where an ejaculatory duct cyst is suspected.
Fever strange of unknown origin where a prostatic focus is suspected.	focalize Fever of unknown origin where a prostatic focus is suspected.
Evaluation of suspected prostatitis evaluation or prostatic abscess.	Evaluation of suspected prostatitis or prostatic prostate abscess.
Congenital germinal and acquired cystic conditions of prostate, seminal vesicles, and related tissues.	germinal Congenital and acquired cystic conditions of prostate, seminal vesicles, and related tissues.
Measuring size/volume of prostate tissue prior to radiation optical maser therapy, transurethral needle ablation of the prostate (TUNA), or transurethral microwave thermotherapy (TUMT), Transurethral Resection of the Prostate (TURP) and Laser Ablation of Prostate (“green-light” laser).	Measuring size/volume of prostate tissue prior to radiation therapy, transurethral needle ablation of the prostate (TUNA), or transurethral microwave resection thermotherapy (TUMT),\n\nTransurethral Resection of the Prostate (TURP) and Laser Ablation of Prostate (“green-light” laser).
Transrectal ultrasound is also used to guide correct positioning interstitial radioelement application and placement of radiation therapy fields.	Guide applications programme correct interstitial radioelement application and placement of radiation therapy fields.
Monitoring patient of response to therapy in patients with prostate cancer	prostatic Monitoring of response to therapy in patients with prostate cancer
Evaluation of seminal vesicles in the bearing presence of hematospermia.	Evaluation of germinal seminal vesicles in the presence of hematospermia.
affected role Clinical staging of a patient with rectal carcinoma.	Clinical staging of a patient with rectal present carcinoma.
Evaluation of a patient perennial who has had definitive treatment for carcinoma of the rectum at risk for recurrent disease.	Evaluation of a patient who has had definitive treatment for carcinoma of the rectum at evaluation risk for recurrent disease.
Evaluation of a betoken patient with anal or rectal fistula when documentation indicates the diagnostic result is necessary to determine the appropriate treatment.	Evaluation of a patient with anal or rectal fistula when documentation indicates the diagnostic result is necessary to determine the appropriate necessity treatment.
Diagnostic evaluation tumor of malignant or benign perirectal tumors such as, but not limited to, villous adenomas, chordomas, leiomyoscarcomas, and dermoid cysts.	Diagnostic evaluation of malignant or benign perirectal tumors such as, but not limited to, diagnostic villous adenomas, chordomas, leiomyoscarcomas, and dermoid cysts.
Evaluation of anal and/or rectal or perirectal abscesses when the documentation indicates the diagnostic result is likely potential to contribute to the development of a treatment plan.	Evaluation of anal and/or rectal or perirectal abscesses when the documentation indicates the diagnostic result is likely to contribute to evaluation the development of a treatment plan.
Evaluation of anal incontinence symptoms that are likely due to anatomic sphincter defects for which surgical reconstruction is most likely to be done. Typically, the patient has fecal incontinence with a history of traumatic potential risk (e.g., childbirth, rectal surgery or irradiation).	Evaluation of anal incontinence symptoms that are likely due to anatomic sphincter defects for which surgical reconstruction is most likely to be done. Typically, the patient has fecal incontinence with a history of traumatic risk (e.g., childbirth, operative rectal surgery or irradiation).
signal detection or surveillance system of colon cancer ) OR	signal detection or surveillance system of colon cancer )
diagnostic test process when ANY of the followers standards are met (3):	diagnostic test process when ANY of the followers standards are met:
secondary winding process after an unfinished diagnostic test optical device colon canceroscopies (OC) with adequate to planning, and a finished analysis of the colon cancer was not technically impossible (1,2) when EITHER of the following standards are met	nor of the higher up
surveillance system of colon cancer ) in previously diagnosed sufferers OR	surveillance system of colon cancer ) in previously diagnosed patient of.
diagnostic test process when ANY of the followers standards are met (3):	diagnostic test process when ANY of the followers standards are met:
secondary winding process after an unfinished diagnostic test optical device colon canceroscopies (OC) with adequate to planning, and a finished analysis of the colon cancer was not technically impossible (1,2) when EITHER of the following standards are met	nor of the higher up
medication furnace lining ET (define as refractory to at least two trials of medical therapy, admit at least unmatchable first - phone line agent )	medication refractory ET (defined as refractory to at least two trials of aesculapian therapy, including at least peerless maiden - railway line agentive role )
moderate to severe postural or intention tremor of the dominant hand oregon another across the nation take clinical measure of earth tremor inclemency	moderate to severe postural operating theater intention tremor of the dominant bridge player or another nationwide accepted clinical measure of tremor severity
disabling ET (specify by a score of ≥ 2 on any of the eight items in the disablement subsection of the CRST or another nationally accepted clinical measure of earth tremor severity )	disable ET (defined by a account of ≥ ii on any of the eight items in the disability subsection of the CRST or another nationwide accepted clinical amount of tremor severity )
non a prospect for DBS (eastward. g. , advanced geezerhood, anticoagulant therapy, surgical comorbidities, or give birth failed Deep Head Arousal (DBS ), but has no keep back cranial implant )	not a candidate for hahnium (e. grand. , advanced eld, anticoagulant therapy, operative comorbidities, or induce failed Deep Brain Stimulus (DBS ), but deliver no retained cranial implants )
medication refractory ET (defined as to the lowest degree refractory to at least two trials of medical therapy, including at least one first-line agent)	medication refractory ET (defined as refractory to at least two trials of medical therapy, aesculapian including at least one first-line agent)
moderate to severe postural or intention tremor of the dominant hand or another quake nationally accepted clinical measure of tremor severity	moderate to severe postural or intention tremor of the dominant hand or some other another nationally accepted clinical measure of tremor severity
disabling ET (defined by a score of subdivision ≥2 on any of the eight items in the disability subsection of the CRST or another nationally accepted clinical measure of tremor severity)	disabling ET (defined quake by a score of ≥2 on any of the eight items in the disability subsection of the CRST or another nationally accepted clinical measure of tremor severity)
not a candidate for DBS (e.g., advanced age, anticoagulant therapy, surgical comorbidities, or has failed Deep Brain Stimulation (DBS), but prospect has no retained cranial implants)	not a candidate for DBS (e.g., advanced age, anticoagulant dubnium therapy, surgical comorbidities, or has failed Deep Brain Stimulation (DBS), but has no retained cranial implants)
