,doc_id,id,text,Question,category,pre_process
84,L343801,A9yXA50ImX,posterior area OCT is considered to be sensible and essential to:,Select all that apply:,1,posterior area oct considered sensible essential
85,L333981,fTEp6gESLV,The perks of TMS usage must be carefully conside of meatred against the hazard of prospects side of meat result in sufferers with any of the followers:,Please select all that apply,1,perk tm usage must carefully conside meatred hazard prospect side meat result sufferer follower
86,L333981,cIaQKJk222,"insistent electroencephalography magnetic moment arousal (rTMS) is only considered medically essential in children who have a confirmed medical diagnosis of notable depressive hyperactivity hyperactivity (MDD), solo or symptomatic incident and meet the following standards:","Patient has a confirmed medical diagnosis of notable depressive hyperactivity hyperactivity (MDD), solo or symptomatic incident",2,insistent electroencephalography magnetic moment arousal rtms considered medically essential child confirmed medical diagnosis notable depressive hyperactivity hyperactivity mdd solo symptomatic incident meet following standard
87,L359360,QponGZK_Um,Facet Joint Interventions are considered medically reasonable and necessary for the diagnosis and treatment of chronic pain in patients who meet ALL the following criteria:,Facet Joint Interventions are considered for the patient with….(select all that\n\napply),2,facet joint intervention considered medically reasonable necessary diagnosis treatment chronic pain patient meet following criterion
88,L375782,Hz0cve_1YO,"this lcd addresses use of a group of new surgical surveillance procedures for glaucoma referred to as micro - invasive functional glaucoma surgery ( migs ). cgs considers one unique istent, istent inject, or hydrus device per eye medically reasonable choice and therefore necessary for the treatment of adults with mild or moderate open - angle glaucoma and a cataract when the individual is currently being treated with an ocular hypotensive medication and the procedure is being performed in conjunction with cataract surgery. one xen45 device per eye is covered for the management of refractory glaucoma, defined as acute prior failure of filtering / cilioablative procedure and / nor or continuous uncontrolled iop ( progressive damage and mean diurnal medicated iop ≥20 mm hg ) on maximally tolerated medical therapy ( i. e., ≥4 classes of topical iop - lowering medications, or fewer in the case of tolerability or efficacy issues ). xen45 insertion must always be performed by an \ n \ ncreated on sep 10 / 25 / 2021. page 2 of 8 \ n \ nophthalmologist with experience with trabeculectomy and bleb management.",please select the all that apply for from the special patient,1,lcd address use group new surgical surveillance procedure glaucoma referred micro - invasive functional glaucoma surgery migs cgs considers one unique istent istent inject hydrus device per eye medically reasonable choice therefore necessary treatment adult mild moderate open - angle glaucoma cataract individual currently treated ocular hypotensive medication procedure performed conjunction cataract surgery one xen45 device per eye covered management refractory glaucoma defined acute prior failure filtering / cilioablative procedure / continuous uncontrolled iop progressive damage mean diurnal medicated iop ≥20 mm hg maximally tolerated medical therapy e ≥4 class topical iop - lowering medication fewer case tolerability efficacy issue xen45 insertion must always performed \ n \ ncreated sep 10 / 25 / 2021 page 2 8 \ n \ nophthalmologist experience trabeculectomy bleb management
89,L340903,io9EZwFYBN,"Laser prostatectomy is indicated as a treatment modality for patients with vesica cervix obstruction secondary to benign prostate hyperplasia (BPH ). Laser surgery provides some advantages over traditional TURP in that the \ normality \ nCreated on 10 / twenty five / 2021. Page 2 of septenary \ n \ n \ nhospital stay is decrease, patients can resume normal activities quicker and morbidity is reduced.",Optical maser prostatectomy be indicated as a discourse sense modality for patient with \ newton \ nbladder neck obstruction secondary to benign prostatic hyperplasia (BPH) and …. (Please \ n \ nselect all that apply ),2,laser prostatectomy indicated treatment modality patient vesica cervix obstruction secondary benign prostate hyperplasia bph laser surgery provides advantage traditional turp \ normality \ ncreated 10 / twenty five / 2021 page 2 septenary \ n \ n \ nhospital stay decrease patient resume normal activity quicker morbidity reduced
90,L336746,VZvR4un7sT,Psychological/psychiatric,Select all apply:,1,psychological/psychiatric
91,L336746,gsaNy1HSuU,"procedure significant benefit and risk (injury or death) treating physician discusses with the To meet reasonable and necessary (R&N) threshold for covered surgeries in the treatment of morbid obesity, the physician’s documentation for the case support indication and medical need procedure does not exceed the medical need) and is at least as beneficial as existing alternatives. list includes contraindications to to treat morbid and lacking compelling an exception in documentation, the hospital and physician can denied if reviewed.",all that apply:,2,procedure significant benefit risk injury death treating physician discus meet reasonable necessary r & n threshold covered surgery treatment morbid obesity physician ’ documentation case support indication medical need procedure exceed medical need least beneficial existing alternative list includes contraindication treat morbid lacking compelling exception documentation hospital physician denied reviewed
92,L336746,oVssnuH2Ur,"Treatable metabolic causes for obesity (e.g., thyroid have ruled out or been treated if present.",Select all apply:,1,treatable metabolic cause obesity eg thyroid ruled treated present
93,L336746,2YK6URhXKv,The failed to maintain a healthy adequate participation in a structured dietary program overseen by one of following:,Select that,2,failed maintain healthy adequate participation structured dietary program overseen one following
94,L351382,YKf17eVekr,intermittent amyotrophic syndrome lateral multiple sclerosis ( mainly als ),patient has ( select normally all values that might apply ) :,1,intermittent amyotrophic syndrome lateral multiple sclerosis mainly al
95,L340906,ORKW957H-7,relative contraindication for these procedures is an active of these must be administered the personal supervision of a and trained appropriate urological evaluation of the physician be present at all times during the treatment.,Please select all that apply,1,relative contraindication procedure active must administered personal supervision trained appropriate urological evaluation physician present time treatment
96,L340906,6Z-S9lYwwW,"Laser prostatectomy is indicated treatment modality for patients with neck obstruction secondary to benign prostatic hyperplasia (BPH). surgery provides some over traditional in that the\n\nCreated on 10/25/2021. Page 2 of 7\n\n\nhospital stay is decreased, patients resume normal activities and morbidity is reduced.",Laser prostatectomy is indicated as a modality neck obstruction secondary to benign prostatic hyperplasia (BPH) and….(Please\n\nselect that apply),2,laser prostatectomy indicated treatment modality patient neck obstruction secondary benign prostatic hyperplasia bph surgery provides traditional the\n\ncreated 10/25/2021 page 2 7\n\n\nhospital stay decreased patient resume normal activity morbidity reduced
97,L334441,nwI2JUQm7p,whole and blood relative specific to exercise experiments (force field walking psychometric test) include:,. Select all that apply:,1,whole blood relative specific exercise experiment force field walking psychometric test include
98,L334441,nwI2JUQm7p,whole and blood relative specific to exercise experiments (force field walking psychometric test) include:,Select all that apply:,1,whole blood relative specific exercise experiment force field walking psychometric test include
99,L377382,KxhIgmLhD1,using mrgfus in unilateral thalamotomy surgery is currently considered medically reasonable and necessary treatment in patients with all the four extremes of the following following treatment criteria :,the patient has ( can select your all that apply ) :,1,using mrgfus unilateral thalamotomy surgery currently considered medically reasonable necessary treatment patient four extreme following following treatment criterion
100,L336743,0mdYjUZqV4,"Arterial inflow and venous outflow of abdominal, pelvic, scrotal contents and / or retroperitoneal organ:",Select all that put on:,2,arterial inflow venous outflow abdominal pelvic scrotal content / retroperitoneal organ
101,L336743,z5AiJirlXN,"Aorta, subscript vein cava, iliac vasculature, operating room bypass bribery:",Select all that enforce:,2,aorta subscript vein cava iliac vasculature operating room bypass bribery
102,L334173,H_gq07SKud,The undermentioned allergic reaction testing is non - cover by Medicare:,Request allergic reaction testing for (Select all that apply ):,1,undermentioned allergic reaction testing non - cover medicare
103,L334173,LgPyRLChqk,"Allergy testing is report when a patient presents with clinically significant hypersensitive chronicle or symptoms that are not governable by empiric conservative therapy. For Medicare to plow allergy testing, all of the next standard mustiness be met:",Select all that apply:,1,allergy testing report patient present clinically significant hypersensitive chronicle symptom governable empiric conservative therapy medicare plow allergy testing next standard mustiness met
104,L334173,h_9VvcRZ6P,"Retesting with the same antigen (s) should rarely be necessary within a 3 - year point. Exceptions include young children with negative skin tests, or older children and adults with disconfirming skin tests in the expression of persistent symptoms. Quotidian repetition of skin tests is not indicated (atomic number 53. e. , annually ). If under specific circumstances, extensive repeat testing is required within a 3 - twelvemonth period, those circumstances must be clearly documented in the medical record including an explanation as to wherefore the original examination is unacceptable.",Enforce for (any ace ):,2,retesting antigen rarely necessary within 3 - year point exception include young child negative skin test older child adult disconfirming skin test expression persistent symptom quotidian repetition skin test indicated atomic number 53 e annually specific circumstance extensive repeat testing required within 3 - twelvemonth period circumstance must clearly documented medical record including explanation wherefore original examination unacceptable
105,L334173,h_9VvcRZ6P,"Retesting with the same antigen (s) should rarely be necessary within a 3 - year point. Exceptions include young children with negative skin tests, or older children and adults with disconfirming skin tests in the expression of persistent symptoms. Quotidian repetition of skin tests is not indicated (atomic number 53. e. , annually ). If under specific circumstances, extensive repeat testing is required within a 3 - twelvemonth period, those circumstances must be clearly documented in the medical record including an explanation as to wherefore the original examination is unacceptable.",Select all that apply:,1,retesting antigen rarely necessary within 3 - year point exception include young child negative skin test older child adult disconfirming skin test expression persistent symptom quotidian repetition skin test indicated atomic number 53 e annually specific circumstance extensive repeat testing required within 3 - twelvemonth period circumstance must clearly documented medical record including explanation wherefore original examination unacceptable
106,L334173,4xGbtAEC3k,"Percutaneous testing for food allergens is covered for affected role with a clinical presentation suggestive of significant IgE mediate food allergy. Such patients will birth presented with signs and symptoms of such conditions as angioedema, urticaria or anaphylaxis after ingestion of specific foods. Testing for food allergy in patients who present with significant respiratory symptoms alone may live required in certain instances.",Select any unitary:,2,percutaneous testing food allergen covered affected role clinical presentation suggestive significant ige mediate food allergy patient birth presented sign symptom condition angioedema urticaria anaphylaxis ingestion specific food testing food allergy patient present significant respiratory symptom alone may live required certain instance
107,L334173,4xGbtAEC3k,"Percutaneous testing for food allergens is covered for affected role with a clinical presentation suggestive of significant IgE mediate food allergy. Such patients will birth presented with signs and symptoms of such conditions as angioedema, urticaria or anaphylaxis after ingestion of specific foods. Testing for food allergy in patients who present with significant respiratory symptoms alone may live required in certain instances.",There is a documented immunoglobulin e - mediated reaction occurred imputable to (Choose all that go for ):,2,percutaneous testing food allergen covered affected role clinical presentation suggestive significant ige mediate food allergy patient birth presented sign symptom condition angioedema urticaria anaphylaxis ingestion specific food testing food allergy patient present significant respiratory symptom alone may live required certain instance
108,L334173,h_9VvcRZ6P,"Retesting with the same antigen (s) should rarely be necessary within a 3 - year point. Exceptions include young children with negative skin tests, or older children and adults with disconfirming skin tests in the expression of persistent symptoms. Quotidian repetition of skin tests is not indicated (atomic number 53. e. , annually ). If under specific circumstances, extensive repeat testing is required within a 3 - twelvemonth period, those circumstances must be clearly documented in the medical record including an explanation as to wherefore the original examination is unacceptable.",Thither is a documented IgE - mediated response hap ascribable to (Take all that apply ):,2,retesting antigen rarely necessary within 3 - year point exception include young child negative skin test older child adult disconfirming skin test expression persistent symptom quotidian repetition skin test indicated atomic number 53 e annually specific circumstance extensive repeat testing required within 3 - twelvemonth period circumstance must clearly documented medical record including explanation wherefore original examination unacceptable
109,L359362,QponGZK_Um,many facet joint interventions are still considered medically based reasonable medicines and necessary for determining the definitive diagnosis and treatment of chronic pain in most patients who meet all or the six following criteria :,facet operative joint interventions are regularly considered for the patient outcome with no …. ( please select all values that \ t n \ napply ),2,many facet joint intervention still considered medically based reasonable medicine necessary determining definitive diagnosis treatment chronic pain patient meet six following criterion
110,L334431,nP75rohYN1,"therapy schedules consist of 30-mins monthly workshops for 12 two weeks. research demonstrate that PTNS is safe and sound with statistically substantial changes in patient of appraisal of hyperactive urinary bladder (OAB) nausea (frequency modulation, enuresis, necessity and urge urinary incontinence) and may be considered a clinically substantial choice to psychopharmacology.", Select all that apply:,1,therapy schedule consist 30-mins monthly workshop 12 two week research demonstrate ptns safe sound statistically substantial change patient appraisal hyperactive urinary bladder oab nausea frequency modulation enuresis necessity urge urinary incontinence may considered clinically substantial choice psychopharmacology
111,L334431,nP75rohYN1,"therapy schedules consist of 30-mins monthly workshops for 12 two weeks. research demonstrate that PTNS is safe and sound with statistically substantial changes in patient of appraisal of hyperactive urinary bladder (OAB) nausea (frequency modulation, enuresis, necessity and urge urinary incontinence) and may be considered a clinically substantial choice to psychopharmacology.",Select any one and only:,0,therapy schedule consist 30-mins monthly workshop 12 two week research demonstrate ptns safe sound statistically substantial change patient appraisal hyperactive urinary bladder oab nausea frequency modulation enuresis necessity urge urinary incontinence may considered clinically substantial choice psychopharmacology
112,L334431,nP75rohYN1,"therapy schedules consist of 30-mins monthly workshops for 12 two weeks. research demonstrate that PTNS is safe and sound with statistically substantial changes in patient of appraisal of hyperactive urinary bladder (OAB) nausea (frequency modulation, enuresis, necessity and urge urinary incontinence) and may be considered a clinically substantial choice to psychopharmacology.",Select any one and only:,0,therapy schedule consist 30-mins monthly workshop 12 two week research demonstrate ptns safe sound statistically substantial change patient appraisal hyperactive urinary bladder oab nausea frequency modulation enuresis necessity urge urinary incontinence may considered clinically substantial choice psychopharmacology
113,L334172,H_gq07SKud,in the step following allergy testing is non - only covered activity by medicare :,requesting allergy type testing for ( select of all methods that should apply ) :,1,step following allergy testing non - covered activity medicare
114,L334172,LgPyRLChqk,"mandatory allergy testing generally is formerly covered when such a patient presents with clinically significant allergic history or presenting symptoms that are not controllable by empiric conservative aroma therapy. for any medicare to now cover allergy testing, basically all of the following criteria must always be met :",select from all criteria that apply :,1,mandatory allergy testing generally formerly covered patient present clinically significant allergic history presenting symptom controllable empiric conservative aroma therapy medicare cover allergy testing basically following criterion must always met
115,L334172,h_9VvcRZ6P,"retesting with the previously same antigen ( or s ) should therefore rarely be necessary within a 3 - year period. exceptions include young children with severe negative skin tests, or older children and adults with negative skin tests in the face of persistent symptoms. routine repetition of skin tests is not indicated ( or i. an e., annually ). if under specific circumstances, extensive repeat testing is still required within a 3 - five year period, those circumstances must be clearly also documented in the medical care record including an explanation as to why the original testing is unacceptable.",those applying only for ( any good one ) :,2,retesting previously antigen therefore rarely necessary within 3 - year period exception include young child severe negative skin test older child adult negative skin test face persistent symptom routine repetition skin test indicated e annually specific circumstance extensive repeat testing still required within 3 - five year period circumstance must clearly also documented medical care record including explanation original testing unacceptable
116,L334172,h_9VvcRZ6P,"retesting with the previously same antigen ( or s ) should therefore rarely be necessary within a 3 - year period. exceptions include young children with severe negative skin tests, or older children and adults with negative skin tests in the face of persistent symptoms. routine repetition of skin tests is not indicated ( or i. an e., annually ). if under specific circumstances, extensive repeat testing is still required within a 3 - five year period, those circumstances must be clearly also documented in the medical care record including an explanation as to why the original testing is unacceptable.",select all rules that we apply :,1,retesting previously antigen therefore rarely necessary within 3 - year period exception include young child severe negative skin test older child adult negative skin test face persistent symptom routine repetition skin test indicated e annually specific circumstance extensive repeat testing still required within 3 - five year period circumstance must clearly also documented medical care record including explanation original testing unacceptable
117,L334172,4xGbtAEC3k,"percutaneous monitoring testing for food allergens alone is covered here for patients with a clinical presentation suggestive of significant ige mediated food allergy. previously such patients often will have presented with signs and severe symptoms of such conditions as angioedema, urticaria or anaphylaxis immediately after ingestion of specific foods. testing for food resource allergies in patients who present with significant respiratory symptoms α alone may be required in such certain instances.",select in any first one :,0,percutaneous monitoring testing food allergen alone covered patient clinical presentation suggestive significant ige mediated food allergy previously patient often presented sign severe symptom condition angioedema urticaria anaphylaxis immediately ingestion specific food testing food resource allergy patient present significant respiratory symptom α alone may required certain instance
118,L334172,4xGbtAEC3k,"percutaneous monitoring testing for food allergens alone is covered here for patients with a clinical presentation suggestive of significant ige mediated food allergy. previously such patients often will have presented with signs and severe symptoms of such conditions as angioedema, urticaria or anaphylaxis immediately after ingestion of specific foods. testing for food resource allergies in patients who present with significant respiratory symptoms α alone may be required in such certain instances.",there is but a single documented ige - mediated chain reaction occurred due to to ( please select all numbers that apply ) :,1,percutaneous monitoring testing food allergen alone covered patient clinical presentation suggestive significant ige mediated food allergy previously patient often presented sign severe symptom condition angioedema urticaria anaphylaxis immediately ingestion specific food testing food resource allergy patient present significant respiratory symptom α alone may required certain instance
119,L334172,h_9VvcRZ6P,"retesting with the previously same antigen ( or s ) should therefore rarely be necessary within a 3 - year period. exceptions include young children with severe negative skin tests, or older children and adults with negative skin tests in the face of persistent symptoms. routine repetition of skin tests is not indicated ( or i. an e., annually ). if under specific circumstances, extensive repeat testing is still required within a 3 - five year period, those circumstances must be clearly also documented in the medical care record including an explanation as to why the original testing is unacceptable.",because there here is actually a rare documented ige - mediated reaction never occurred there due to ( select all that apply ) :,1,retesting previously antigen therefore rarely necessary within 3 - year period exception include young child severe negative skin test older child adult negative skin test face persistent symptom routine repetition skin test indicated e annually specific circumstance extensive repeat testing still required within 3 - five year period circumstance must clearly also documented medical care record including explanation original testing unacceptable
120,L387710,FQTCBJTBnN,FFRct is not considered reasonable in the following clinical circumstances:,Select all that apply:,1,ffrct considered reasonable following clinical circumstance
121,L387710,lMcmRCWHbx,"FDA-approved FFRct technology may be considered reasonable and necessary in the management of patients with symptomatic, stable ischemic heart disease (SIHD), when the CCTA analysis is completed and demonstrates one of the following criteria:",Select all that apply:,1,fda-approved ffrct technology may considered reasonable necessary management patient symptomatic stable ischemic heart disease sihd ccta analysis completed demonstrates one following criterion
122,L334437,nP75rohYN1,"Treatment regimens consist of 30-minute weekly sessions for 12 weeks. Studies demonstrate that PTNS is safe with statistically discourse significant improvements in patient assessment of overactive bladder (OAB) symptoms (frequency, nocturia, urgency and urge incontinence) and may be considered a clinically significant alternative to pharmacotherapy.",Select all that choose apply:,1,treatment regimen consist 30-minute weekly session 12 week study demonstrate ptns safe statistically discourse significant improvement patient assessment overactive bladder oab symptom frequency nocturia urgency urge incontinence may considered clinically significant alternative pharmacotherapy
123,L334437,nP75rohYN1,"Treatment regimens consist of 30-minute weekly sessions for 12 weeks. Studies demonstrate that PTNS is safe with statistically discourse significant improvements in patient assessment of overactive bladder (OAB) symptoms (frequency, nocturia, urgency and urge incontinence) and may be considered a clinically significant alternative to pharmacotherapy.",Select any choose ONE:,0,treatment regimen consist 30-minute weekly session 12 week study demonstrate ptns safe statistically discourse significant improvement patient assessment overactive bladder oab symptom frequency nocturia urgency urge incontinence may considered clinically significant alternative pharmacotherapy
124,L334437,nP75rohYN1,"Treatment regimens consist of 30-minute weekly sessions for 12 weeks. Studies demonstrate that PTNS is safe with statistically discourse significant improvements in patient assessment of overactive bladder (OAB) symptoms (frequency, nocturia, urgency and urge incontinence) and may be considered a clinically significant alternative to pharmacotherapy.",Select choose any ONE:,0,treatment regimen consist 30-minute weekly session 12 week study demonstrate ptns safe statistically discourse significant improvement patient assessment overactive bladder oab symptom frequency nocturia urgency urge incontinence may considered clinically significant alternative pharmacotherapy
125,L334592,D3FuqQMClr,the eight following clinical imaging indications apply primarily to the lunar computerized axial tomography ( surgical ct or cat ) surveillance of the lunar thorax :,teachers select all questions that apply :,1,eight following clinical imaging indication apply primarily lunar computerized axial tomography surgical ct cat surveillance lunar thorax
126,L334552,bvIKI9mbiW,"the wmc pharmacy should not be administered to patients with a history of gastric bezoar, swallowing disorders, dysphagia, any suspected strictures / fistulae in the lower gi tract, physiologic conditions gi obstruction, gi surgery within the previous 3 months, \ n \ the ncreated on 10 / 25 / 2021. page 2 of 7 \ n n \ n \ ncrohn syndrome ’ s disease, diverticulitis, or who have an implanted electromechanical medical device ( such as the pacemaker or infusion pump ). the capsule is not being fda fully approved for use in children.",another patient has a written history of ( people select all that i apply ) :,1,wmc pharmacy administered patient history gastric bezoar swallowing disorder dysphagia suspected stricture / fistula lower gi tract physiologic condition gi obstruction gi surgery within previous 3 month \ n \ ncreated 10 / 25 / 2021 page 2 7 \ n n \ n \ ncrohn syndrome ’ disease diverticulitis implanted electromechanical medical device pacemaker infusion pump capsule fda fully approved use child
127,L334552,f8I-fM5_CI,the wireless motility protection capsule ( wmc ) has already been actively studied in many centers. the capsule does not simply use radioactive storage materials and has minimal known safety net risks. a palmetto gba will not cover the containment device when :,wireless motility monitoring capsule ( commonly wmc ) ( could select against all that might apply ) :,1,wireless motility protection capsule wmc already actively studied many center capsule simply use radioactive storage material minimal known safety net risk palmetto gba cover containment device
128,L388393,6MQt5ZQYq6,FFRct is non consider reasonable in the following clinical circumstance,Please choose all that apply for the patient role,2,ffrct non consider reasonable following clinical circumstance
129,L388393,fU_cR0J44D,"food and drug administration - approved FFRct technology may be take reasonable and necessary in the management of patients with diagnostic, stable ischemic heart disease (SIHD) when the CCTA analysis is completed and demonstrates one of the undermentioned criterion:","Affected role with diagnostic, unchanging ischemic heart disease (SIHD) when the CCTA analysis be completed",2,food drug administration - approved ffrct technology may take reasonable necessary management patient diagnostic stable ischemic heart disease sihd ccta analysis completed demonstrates one undermentioned criterion
130,L388393,fU_cR0J44D,"food and drug administration - approved FFRct technology may be take reasonable and necessary in the management of patients with diagnostic, stable ischemic heart disease (SIHD) when the CCTA analysis is completed and demonstrates one of the undermentioned criterion:",Patient role evidence one and only of the following criteria … (Please select all that apply ),1,food drug administration - approved ffrct technology may take reasonable necessary management patient diagnostic stable ischemic heart disease sihd ccta analysis completed demonstrates one undermentioned criterion
131,L340900,io9EZwFYBN,"Laser prostatectomy is indicated as a treatment modality for patients with bladder neck obstruction secondary to benign prostatic hyperplasia (BPH). Laser surgery provides some advantages over traditional TURP in that the\n\nCreated on 10/25/2021. Page 2 of 7\n\n\nhospital stay is decreased, patients can resume normal activities quicker and morbidity is reduced.",Laser prostatectomy is indicated as a treatment modality for patients with\n\nbladder neck obstruction secondary to benign prostatic hyperplasia (BPH) and….(Please\n\nselect all that apply),2,laser prostatectomy indicated treatment modality patient bladder neck obstruction secondary benign prostatic hyperplasia bph laser surgery provides advantage traditional turp the\n\ncreated 10/25/2021 page 2 7\n\n\nhospital stay decreased patient resume normal activity quicker morbidity reduced
132,L385711,DLGOxcjSbT,diagnostic test and/or surveillance system* (performed for sign up/nausea of illness) colon cancer cancer space capsule colon cancer canceroscopy (CCE) is medically essential for the signal detection of colon cancer cancer adenomatous polyp when EITHER of the following standards are met:,"patient of’s secondary winding process after an unfinished diagnostic test optical device colon canceroscopies (OC) with adequate to planning, and a finished analysis of the colon cancer was not technically impossible, in which there is (Select all that apply):",1,diagnostic test and/or surveillance system * performed sign up/nausea illness colon cancer cancer space capsule colon cancer canceroscopy cce medically essential signal detection colon cancer cancer adenomatous polyp either following standard met
133,L385711,DLGOxcjSbT,diagnostic test and/or surveillance system* (performed for sign up/nausea of illness) colon cancer cancer space capsule colon cancer canceroscopy (CCE) is medically essential for the signal detection of colon cancer cancer adenomatous polyp when EITHER of the following standards are met:,"primary election process in patient of of with notable hazards for dc or centrist anesthesia as indicated from an analysis of the patient of of by a control board certified or control board ineligible internist, a cosmetic surgeon trained in colonoscopy, or a doctor with equivalent weight laparoscopic practice, in which there is (Select all that apply):",1,diagnostic test and/or surveillance system * performed sign up/nausea illness colon cancer cancer space capsule colon cancer canceroscopy cce medically essential signal detection colon cancer cancer adenomatous polyp either following standard met
134,L357552,xsJ75T45WE,"vascular technique studies generally are not the initial diagnostic modality utilized for the evaluation assessment of abdominal groin pain / crotch tenderness. there must be a moderately high index of suspicion that the pain perception is specifically caused by a vascular performance disorder, such as mesentery ischemia.",select then all that they apply :,1,vascular technique study generally initial diagnostic modality utilized evaluation assessment abdominal groin pain / crotch tenderness must moderately high index suspicion pain perception specifically caused vascular performance disorder mesentery ischemia
135,L357552,y6Sp9L5w66,signs / preliminary symptoms typically of valve ischemia may or possible altered blood flow are present ;,select all measures that will apply :,1,sign / preliminary symptom typically valve ischemia may possible altered blood flow present
136,L357552,D24tgSUesO,extreme uncontrolled peripheral hypertension.,select all rules that would apply :,1,extreme uncontrolled peripheral hypertension
137,L357552,jIvrbXAT95,"dorsal aorta, and inferior primary vena vein cava, iliac inferior vasculature muscle and bypass disease grafts \ h n \ 1 nindications :",they select all tests that apply :,1,dorsal aorta inferior primary vena vein cava iliac inferior vasculature muscle bypass disease graft \ h n \ 1 nindications
138,L378481,mYDtSWlZMb,clues for sacral vertebra nuclear fusion include any of the followers.,Select all that apply:,1,clue sacral vertebra nuclear fusion include follower
139,L375783,Hz0cve_1YO,"This LCD addresses use of a chemical group of new surgical procedures for glaucoma referred to as micro - invasive glaucoma surgery (MIGS ). cgs system considers one iStent, iStent inject, or Hydrus device per eye medically reasonable and necessary for the treatment of adults with mild or moderate open - angle glaucoma and a cataract when the individual is currently being treated with an ocular hypotensive medication and the procedure is being performed in conjunction with cataract surgery. One XEN45 device per oculus is covered for the management of refractory glaucoma, defined as prior failure of filtering / cilioablative subroutine and / or uncontrolled intraocular pressure (progressive damage and mean diurnal medicated IOP ≥ 20 mm Hg) on maximally tolerated medical therapy (i. e. , ≥ 4 classes of topical IOP - lowering medicinal drug, or fewer in the case of tolerability or efficacy issues ). XEN45 insertion mustiness be performed by an \ n \ nCreated on 10 / 25 / 2021. Page 2 of 8 \ n \ nophthalmologist with experience with trabeculectomy and bleb management.",Delight select all that apply for the patient,1,lcd address use chemical group new surgical procedure glaucoma referred micro - invasive glaucoma surgery migs cgs system considers one istent istent inject hydrus device per eye medically reasonable necessary treatment adult mild moderate open - angle glaucoma cataract individual currently treated ocular hypotensive medication procedure performed conjunction cataract surgery one xen45 device per oculus covered management refractory glaucoma defined prior failure filtering / cilioablative subroutine / uncontrolled intraocular pressure progressive damage mean diurnal medicated iop ≥ 20 mm hg maximally tolerated medical therapy e ≥ 4 class topical iop - lowering medicinal drug fewer case tolerability efficacy issue xen45 insertion mustiness performed \ n \ ncreated 10 / 25 / 2021 page 2 8 \ n \ nophthalmologist experience trabeculectomy bleb management
140,L334597,WNKBNhLtzQ,"The patient has experienced OAB with associated symptoms of urinary urgency, urinary frequency, and urge incontinence for at least 12 months and the condition has resulted in significant disability [the symptoms are limiting the patient’s ability to participate take part in activities of daily living (ADLs);] and",Select all that choose apply:,1,patient experienced oab associated symptom urinary urgency urinary frequency urge incontinence least 12 month condition resulted significant disability [ symptom limiting patient ’ ability participate take part activity daily living adls ]
141,L388392,6MQt5ZQYq6,using ffrct patients is not currently considered reasonable in doing the following clinical circumstance,please to select all that apply for to the qualified patient,1,using ffrct patient currently considered reasonable following clinical circumstance
142,L388392,fU_cR0J44D,"fda - approved ffrct testing technology may generally be considered reasonable and necessary in assessing the management of patients suffering with non symptomatic, potentially stable ischemic heart valves disease ( sihd ) risk when the ccta analysis work is completed and demonstrates one of the following approach criteria :","each patient responded with severe symptomatic, not stable ischemic heart cluster disease ( sihd ) inactivated when the entire ccta genome analysis is completed",2,fda - approved ffrct testing technology may generally considered reasonable necessary assessing management patient suffering non symptomatic potentially stable ischemic heart valve disease sihd risk ccta analysis work completed demonstrates one following approach criterion
143,L388392,fU_cR0J44D,"fda - approved ffrct testing technology may generally be considered reasonable and necessary in assessing the management of patients suffering with non symptomatic, potentially stable ischemic heart valves disease ( sihd ) risk when the ccta analysis work is completed and demonstrates one of the following approach criteria :",patient demonstrates to one of the next following four criteria … ( also please select to all that apply ),1,fda - approved ffrct testing technology may generally considered reasonable necessary assessing management patient suffering non symptomatic potentially stable ischemic heart valve disease sihd risk ccta analysis work completed demonstrates one following approach criterion
144,L333963,9xGnKXNIxT,Treatments for relapse shall exclusively embody allowed for those patients world health organization attain a> l% decrease in ob symptoms with the initial treatment and then relapse.,The petition be for … (Please select all that implement ),2,treatment relapse shall exclusively embody allowed patient world health organization attain > l % decrease ob symptom initial treatment relapse
145,L333963,3WHYNvR3nv,PTNS is consider reasonable and necessary for a beneficiary when the following standard are forgather:,Please choose any all that apply,2,ptns consider reasonable necessary beneficiary following standard forgather
146,L333963,9xGnKXNIxT,Treatments for relapse shall exclusively embody allowed for those patients world health organization attain a> l% decrease in ob symptoms with the initial treatment and then relapse.,Affected role has reach a> 50% decrement in OBS symptoms with the initial treatment and then get worse,2,treatment relapse shall exclusively embody allowed patient world health organization attain > l % decrease ob symptom initial treatment relapse
147,L389267,0gj0t3y5L_,The following are considered contraindicators to surgery count for visually impairing cataract and are not considered medically reasonable and necessary:,Select all prize that apply:,1,following considered contraindicators surgery count visually impairing cataract considered medically reasonable necessary
148,L389267,0gj0t3y5L_,The following are considered contraindicators to surgery count for visually impairing cataract and are not considered medically reasonable and necessary:,The choose individual is opting for (Select any ONE):,0,following considered contraindicators surgery count visually impairing cataract considered medically reasonable necessary
149,L378487,mYDtSWlZMb,Indications for lumbar fusion include any of the reading following.,Select all that quality apply:,1,indication lumbar fusion include reading following
150,L359367,QponGZK_Um,Facet Joint Interventions are considered medically reasonable and necessary for the diagnosis and treatment of chronic pain in patients who meet intervention ALL the following criteria:,Facet Joint Interventions are considered turn over for the patient with….(select all that\n\napply),2,facet joint intervention considered medically reasonable necessary diagnosis treatment chronic pain patient meet intervention following criterion
